x,y
4.048090410931718175e+00,5.140030277725291086e+00
3.797962594721353113e+00,4.953509925964542759e+00
4.028511229807548055e+00,4.931550145186378131e+00
3.961218350544915445e+00,5.002278649199703331e+00
4.320061552308160913e+00,5.335185353171040923e+00
3.879262441594832911e+00,5.131576634355456967e+00
4.064882126325801259e+00,5.028453122825852439e+00
4.063928548775630034e+00,5.019001082642732037e+00
3.988896191934637070e+00,5.088664845277443227e+00
4.126027876073424139e+00,5.152645056219683717e+00
4.060060529497756754e+00,4.953662086337831560e+00
4.064151775218461715e+00,5.135181020324106171e+00
4.043727988167733045e+00,5.087303725891779038e+00
4.065014582803156529e+00,5.013316002248945580e+00
4.026284663083028903e+00,4.963350195090301398e+00
4.079460520940958013e+00,4.967183176992168825e+00
3.904397319855797299e+00,4.901001467181593796e+00
3.736655218748136331e+00,4.959298766709981265e+00
4.029085926074555069e+00,4.966797103862501395e+00
4.122563227404866026e+00,4.953035810975384479e+00
3.990855157614679349e+00,4.980157127091565883e+00
4.028550718706004119e+00,5.034062274371765788e+00
3.922642788499524524e+00,4.959420783397351151e+00
3.985252772199403992e+00,5.032326080749241370e+00
4.097784654137562654e+00,5.119048930430127875e+00
3.922752543242948420e+00,4.966268890135327574e+00
3.891406070313394583e+00,4.875279064769006965e+00
3.999387377470428717e+00,5.096625740438931018e+00
3.931158987875291277e+00,4.989067552398664951e+00
3.979823117674313071e+00,5.060579365961656251e+00
3.902591128175812329e+00,4.953354678919918541e+00
4.049419519144495716e+00,5.094318461663402076e+00
4.138118510800425476e+00,5.074494017455284833e+00
3.866588106833371175e+00,4.886346763075310129e+00
3.905049243224978373e+00,5.101180589025349654e+00
3.944938893838530358e+00,5.019781976943219703e+00
3.982789565207815130e+00,5.047595440541920553e+00
3.931589804579816771e+00,4.877107625584162776e+00
3.872778829677450574e+00,4.967265508738332613e+00
3.984135083691225265e+00,4.979668030551787972e+00
4.126946959119687897e+00,5.081914894597931109e+00
4.017692758489886273e+00,5.109261286510835554e+00
3.928046377440721493e+00,5.008081585275742320e+00
4.074692556172323066e+00,5.021932379208921660e+00
4.019290118956480917e+00,4.935910615082869768e+00
3.897323982056918101e+00,4.955294850459968536e+00
4.064600364523137443e+00,5.195821006835750211e+00
3.940351485070050952e+00,4.982023596816674171e+00
3.992621474284230310e+00,4.874055633347841976e+00
3.960737673599208364e+00,4.866863380649395943e+00
4.075165472446284909e+00,4.981418655913905980e+00
4.008952575158402531e+00,4.970037254166711271e+00
4.027147725176828175e+00,4.975605877063590476e+00
4.043823830590498325e+00,5.068673345065784375e+00
4.153115898103926895e+00,5.064280498643138451e+00
3.808739690299496772e+00,4.851269590361122042e+00
4.121158599974161341e+00,4.992770245653302297e+00
4.085950327039255647e+00,5.050820761745597132e+00
4.128502052457756477e+00,4.940232820992553897e+00
3.982317333107627366e+00,4.914767810654367963e+00
4.260100145433046492e+00,5.182241498195875096e+00
4.123339003267555647e+00,4.994744305828485054e+00
3.958085748213737709e+00,4.961810395587845868e+00
4.098246084550327240e+00,5.031548878166320904e+00
4.062747775579497400e+00,4.901605630830180971e+00
3.968350694045528648e+00,4.932087161628380123e+00
3.858943731705101854e+00,4.961599003662384710e+00
4.025221421397559673e+00,5.014728164372513675e+00
3.880712218336105579e+00,5.011664982044291783e+00
4.031320998657192511e+00,4.996745902795852068e+00
4.002047325303340841e+00,4.984453616430482903e+00
3.843456246763683026e+00,4.903661969660215725e+00
3.925640318636717030e+00,4.900889714847826539e+00
3.896568291545679408e+00,4.914539031228560617e+00
3.820878814415806346e+00,4.971422630457204228e+00
4.046515589569593452e+00,5.021991122228189219e+00
3.996889979519552938e+00,4.947964692307234458e+00
4.091113981540721589e+00,5.037131577582536046e+00
3.936090479271914244e+00,5.053514380151258756e+00
3.979895865571680069e+00,4.952694465885059572e+00
3.973725879473139155e+00,4.933235375382034604e+00
3.899812678995906445e+00,5.109664587417511505e+00
4.148072206171335097e+00,5.093486334361176482e+00
3.887559915709032143e+00,4.889042953482248599e+00
3.984210308809230661e+00,5.042158701036348667e+00
3.880861902704353383e+00,4.793077214192928537e+00
3.870388797888066446e+00,4.956287476080595944e+00
4.035003730510061004e+00,5.046068579975722557e+00
3.988346986365647329e+00,5.005791011668038415e+00
3.957411579485926367e+00,5.033224823439139684e+00
3.878206343941895451e+00,4.967881767992152753e+00
3.924089125333065642e+00,4.940864452951169383e+00
4.049442445534471524e+00,5.090439085976605327e+00
3.900035357197425334e+00,5.029748736057706893e+00
4.059044997530451226e+00,5.025230304287965133e+00
